session,time_sec_p1,created,consentAge,consentVaccine,consentUnderstand,consentCondition,time_sec_p2,respID,cbcAllSame,time_sec_p3,yearOfBirth,gender,genderOther,ethnicity,ethnicityOther,income,politics,transportMode,transportOther,state,education,religiousExemption,time19,feedback,completionCode,qID,choice,altID,obsID,value,penalty,accessibility,incentive_cash,incentive_grocery_store,incentive_internet,incentive_sport_tickets,outsideGood
NkflewSwTECkNtC0p1Jg9u94s7XLdg5lUOrTWgmIYzOOZdOjI1Qe8jXDdXRS-mRd,19,2021-11-26T23:39:53Z,1,1,1,1,163,1,0,69,2001,male,NA,black,NA,inc_100_to_150,independent,public_transport,NA,arizona,hs,2,2021-11-26T18:43:47Z,NA,158F6DF0,1,1,1,1,1000,0,10,1,0,0,0,0
NkflewSwTECkNtC0p1Jg9u94s7XLdg5lUOrTWgmIYzOOZdOjI1Qe8jXDdXRS-mRd,19,2021-11-26T23:39:53Z,1,1,1,1,163,1,0,69,2001,male,NA,black,NA,inc_100_to_150,independent,public_transport,NA,arizona,hs,2,2021-11-26T18:43:47Z,NA,158F6DF0,1,0,2,1,0,0,0,0,0,0,0,1
NkflewSwTECkNtC0p1Jg9u94s7XLdg5lUOrTWgmIYzOOZdOjI1Qe8jXDdXRS-mRd,19,2021-11-26T23:39:53Z,1,1,1,1,163,1,0,69,2001,male,NA,black,NA,inc_100_to_150,independent,public_transport,NA,arizona,hs,2,2021-11-26T18:43:47Z,NA,158F6DF0,2,0,1,2,1000,100,3,1,0,0,0,0
NkflewSwTECkNtC0p1Jg9u94s7XLdg5lUOrTWgmIYzOOZdOjI1Qe8jXDdXRS-mRd,19,2021-11-26T23:39:53Z,1,1,1,1,163,1,0,69,2001,male,NA,black,NA,inc_100_to_150,independent,public_transport,NA,arizona,hs,2,2021-11-26T18:43:47Z,NA,158F6DF0,2,1,2,2,0,0,0,0,0,0,0,1
NkflewSwTECkNtC0p1Jg9u94s7XLdg5lUOrTWgmIYzOOZdOjI1Qe8jXDdXRS-mRd,19,2021-11-26T23:39:53Z,1,1,1,1,163,1,0,69,2001,male,NA,black,NA,inc_100_to_150,independent,public_transport,NA,arizona,hs,2,2021-11-26T18:43:47Z,NA,158F6DF0,3,1,1,3,300,300,3,0,0,1,0,0
NkflewSwTECkNtC0p1Jg9u94s7XLdg5lUOrTWgmIYzOOZdOjI1Qe8jXDdXRS-mRd,19,2021-11-26T23:39:53Z,1,1,1,1,163,1,0,69,2001,male,NA,black,NA,inc_100_to_150,independent,public_transport,NA,arizona,hs,2,2021-11-26T18:43:47Z,NA,158F6DF0,3,0,2,3,0,0,0,0,0,0,0,1
NkflewSwTECkNtC0p1Jg9u94s7XLdg5lUOrTWgmIYzOOZdOjI1Qe8jXDdXRS-mRd,19,2021-11-26T23:39:53Z,1,1,1,1,163,1,0,69,2001,male,NA,black,NA,inc_100_to_150,independent,public_transport,NA,arizona,hs,2,2021-11-26T18:43:47Z,NA,158F6DF0,4,1,1,4,200,1000,3,0,1,0,0,0
NkflewSwTECkNtC0p1Jg9u94s7XLdg5lUOrTWgmIYzOOZdOjI1Qe8jXDdXRS-mRd,19,2021-11-26T23:39:53Z,1,1,1,1,163,1,0,69,2001,male,NA,black,NA,inc_100_to_150,independent,public_transport,NA,arizona,hs,2,2021-11-26T18:43:47Z,NA,158F6DF0,4,0,2,4,0,0,0,0,0,0,0,1
NkflewSwTECkNtC0p1Jg9u94s7XLdg5lUOrTWgmIYzOOZdOjI1Qe8jXDdXRS-mRd,19,2021-11-26T23:39:53Z,1,1,1,1,163,1,0,69,2001,male,NA,black,NA,inc_100_to_150,independent,public_transport,NA,arizona,hs,2,2021-11-26T18:43:47Z,NA,158F6DF0,5,1,1,5,50,0,1,1,0,0,0,0
NkflewSwTECkNtC0p1Jg9u94s7XLdg5lUOrTWgmIYzOOZdOjI1Qe8jXDdXRS-mRd,19,2021-11-26T23:39:53Z,1,1,1,1,163,1,0,69,2001,male,NA,black,NA,inc_100_to_150,independent,public_transport,NA,arizona,hs,2,2021-11-26T18:43:47Z,NA,158F6DF0,5,0,2,5,0,0,0,0,0,0,0,1
NkflewSwTECkNtC0p1Jg9u94s7XLdg5lUOrTWgmIYzOOZdOjI1Qe8jXDdXRS-mRd,19,2021-11-26T23:39:53Z,1,1,1,1,163,1,0,69,2001,male,NA,black,NA,inc_100_to_150,independent,public_transport,NA,arizona,hs,2,2021-11-26T18:43:47Z,NA,158F6DF0,6,1,1,6,50,0,3,1,0,0,0,0
NkflewSwTECkNtC0p1Jg9u94s7XLdg5lUOrTWgmIYzOOZdOjI1Qe8jXDdXRS-mRd,19,2021-11-26T23:39:53Z,1,1,1,1,163,1,0,69,2001,male,NA,black,NA,inc_100_to_150,independent,public_transport,NA,arizona,hs,2,2021-11-26T18:43:47Z,NA,158F6DF0,6,0,2,6,0,0,0,0,0,0,0,1
