"session","created","modified","ended","expired","time2","survey","respondentID","df","df_json","time3","time4","cbcPractice","time5","time6","cbc1","time7","cbc2","time8","cbc3","time9","cbc4","time10","cbc5","time11","cbc6","time12","cbc7","time13","cbc8","time14","cbc9","time15","cbc10","cbcAllSame","time16"
"clumsyLeopardTortoiseXXX-JX1VMvt0OIFDustOXn5KT75IY7QhA2V9db-2j7l","2021-10-15 18:23:48","2021-10-15 18:24:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:24:47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:27:54","2021-10-15 18:28:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:30:41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gentleCrestedPenguinXXXcJyb6S57syyJlwWscfyCLm-IlVZ0k8BmGT6ryXJIq","2021-10-15 18:34:12","2021-10-15 18:35:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:37:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:38:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:39:21","2021-10-15 18:41:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:41:56","2021-10-15 18:42:56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:42:45","2021-10-15 18:42:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vastDodoXXXs_Gopm2EgRLqfTzjDJmUg5IKTG_UlgrGXWamtRsgmTd9exv5m3Jsm","2021-10-15 18:46:56","2021-10-15 18:47:48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:53:42","2021-10-15 18:53:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"puzzledWolfXXXUwFnCHq4sPaFPUMXliTHmvLt_NwdZPP9tgru0jVfXZXBuPN_sj","2021-10-15 18:55:34","2021-10-15 18:55:47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"expensiveFishingCatXXXi8zss7MOJ5fdiWqmm_N9N7ZXknfjnUgZdiv679n6_y","2021-10-15 19:17:24","2021-10-15 19:18:01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"badElephantSealXXXDYR2jGyfoADMIN2HAEuORa7cSdDtg5Di-HLLkR2LpB-0Fi","2021-10-15 19:19:02","2021-10-15 19:22:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 19:23:22","2021-10-15 19:23:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"determinedGoatXXXRZ2eU2SO45EGc46LvmuIHAXe21-HXZmyj2txZMinmsYcoGN","2021-10-15 19:30:04","2021-10-15 19:30:22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 19:52:02","2021-10-15 19:52:22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 19:59:52","2021-10-15 20:06:53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 20:07:01","2021-10-15 20:07:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 20:10:37","2021-10-15 20:11:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 20:15:33","2021-10-15 20:16:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 20:17:40","2021-10-15 20:19:09","2021-10-15 20:19:10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"beautifulBobcatXXXUgCy711E6biwEkQJAnn8PCM-XdmY_2y5FWd4S78YleP5oq","2021-10-15 20:32:38","2021-10-15 20:49:26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"handsomeProboscisMonkeyXXXK1F9oO5UOTMQnRJHVv1fwKKRhCOrL53hTDk-Ee","2021-10-15 21:14:54","2021-10-15 21:15:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 21:20:07","2021-10-15 21:20:38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 21:21:46","2021-10-15 21:32:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lightTapirXXXV8yNWW06vbNKAl2JZebSIBVw5-zL-9aOKzj5oAg2gNYv8fA-vku","2021-10-15 21:28:52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"excitedSwanXXXzjV5d4GI5TU9PJ25Zhzr4rQ64Q8Tr1vKpRWeMReqWjdkJRlzvy","2021-10-15 21:35:56","2021-10-15 21:36:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"boredWoodpeckerXXX2FkE92yfepd34VP48Sl6se7FKNdVXSR252ru31WzjE8F0w","2021-10-15 21:42:36","2021-10-15 21:42:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"quirkyTangXXXMJqs_EtUQ9ljFmu07bCRSoJe_sri8S3-omtlO2jwpvl9dGNve7m","2021-10-15 21:43:47","2021-10-15 21:45:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gentleVultureXXX6cxgnTyCNsUP6k0xEWV3533oL5ZG8tNMY2XpFoCGUqI3A5lk","2021-10-15 21:45:45","2021-10-15 21:48:45","2021-10-15 21:48:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"homelyAlligatorXXXLOgbMz_eOShHpzpPHJ8FLqKCXyTquDQmUKhXH62kvq-oNg","2021-10-15 22:17:26","2021-10-15 22:20:49","2021-10-15 22:20:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lGWU67dhHVGBRtWZJei2c1WaRM11xCIgI9AJUX6lJ-ZV-DGtiQJHxSucJqziNJB0","2021-10-17 16:21:39","2021-10-17 16:36:03","2021-10-17 16:36:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ch8EivV04ailGDt70DhI9gVogf5yjMF2-Z8P4FYPvAaYenK0KE4pLku_82RuPRRq","2021-10-18 02:45:15","2021-10-18 02:53:18","2021-10-18 02:53:18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tzs4NRvQR6oqXV3zKpVtfsAhx6NUuFFW1Ec7Y2WNbOqBiR4hPdwuw54gPzWsaIwH","2021-10-18 02:48:43","2021-10-18 02:52:00","2021-10-18 02:52:01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"zUPYtRapkNo6SB4gZnJsm2_xWm73eEHvYtNbeLbrTjrumySH9sFtKFDruVY745CA","2021-10-18 19:06:00","2021-10-18 19:06:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L2N5G5_8Ps2-72K2RUJuZryq3lTYB66YqR1vvbfz_r15fmzVwtckN9uTbAv8DH9x","2021-10-18 19:09:07","2021-10-18 19:17:13","2021-10-18 19:17:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2-HyMVTH9fW7XDsiqT48K9JCNkFKAswvONMIHlPZNuWEysbaXi0aMTcy9nkVOfkC","2021-10-18 19:21:01","2021-10-18 19:25:39","2021-10-18 19:25:40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1fUY2QeWctO0f96HIUi65_Qn0L_h5Vs8InLWh-9VvXC85I1xTqjQqU4E_3Z2cE1p","2021-10-18 20:12:33","2021-10-18 20:20:01","2021-10-18 20:20:01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9MypU3O7BhX4cUKe3NvybfpdimGSL-5Pg0FuuHrc7EKqUPMVVrBJpIhzXiP1kIQ9","2021-10-18 22:29:37","2021-10-18 22:34:54","2021-10-18 22:34:54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hSAhIyXKRsCraYnntbWgUgSf1k50WbW3PQYzDnYvlTjxmbUO7RbxR0N8U4364gX3","2021-10-19 01:09:12","2021-10-19 01:10:52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EMeYRKfqqTL5oHhU2m_Fvsbb-8XGgHqWUPoTVkkRsJP6Xz1_cV6OmfLKYaS2KKdo","2021-10-19 17:02:01","2021-10-19 17:04:48","2021-10-19 17:04:49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"_OEOHzwxn4lZUgbOoVYl18D8g9QTG-OZS0vdMdxMwoe-ZBzuGim4-McYonWiF-j8","2021-10-19 21:12:27","2021-10-19 21:15:33","2021-10-19 21:15:33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JisYJN0c7qF2oVYqx0NMoexFDhJ-68f7TsyLqqbVXnPMATmCt2abYo4QLQuay3CT","2021-10-20 04:52:19","2021-10-20 04:59:31","2021-10-20 04:59:31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QXrogRufaGj1TzILpkqg-thXf7JjDMJv3oM1bdvS5tYospTU4QzPvf9cfg6BMfbx","2021-10-20 19:25:49","2021-10-20 19:29:42","2021-10-20 19:29:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DpyZ2aiW5dft0WVDkfhyocWVx8H293idlD344cLtBrxYVARy58GuXgWXz-FxyIav","2021-10-20 22:17:41","2021-10-20 22:19:24","2021-10-20 22:19:24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Xs2YkZR9RhGpPvjORdlsUmzohctDk4BEqF0OCCymv4aam31SDOCXOTzp8fNZZj_P","2021-10-21 02:05:02","2021-10-21 02:07:16","2021-10-21 02:07:16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fragileCivetXXXjq-UhqjWhJVB9_0Y3-KAEz95kJAJETL4GTUyXV3wd67R6OVcT","2021-11-09 19:06:51","2021-11-09 19:07:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lightSeaSlugXXXTdkHYxhY1X0REbSnFK5-w79ZljVNkj-y7-GtDUP8hbRmgRXUD","2021-11-09 22:13:22","2021-11-09 22:29:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"quirkyRhinocerosXXXv8GKL1notnbSRxUJntbp0swPdspG7Ylyj08fIm1dBW6F4","2021-11-09 22:42:32","2021-11-09 22:43:57","2021-11-09 22:43:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"grotesqueFurSealXXXhxiDzUWKMp6T5aMAymNdeNwgFM4sZMgzI1DRRwH-7286O","2021-11-09 23:51:27","2021-11-09 23:54:46","2021-11-09 23:54:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-11-10 04:03:07","2021-11-10 04:03:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-11-10 04:04:01","2021-11-10 04:04:21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-11-10 04:05:41","2021-11-10 04:05:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-11-10 04:07:12","2021-11-10 04:07:41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-11-10 04:07:51","2021-11-10 04:07:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-11-10 04:11:04","2021-11-10 04:11:33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-11-10 04:57:22","2021-11-10 04:57:56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-11-10 05:09:55","2021-11-10 05:09:59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
