"","...1","respID","qID","altID","obsID","value","penalty","accessibility","incentive_cash","incentive_grocery_store","incentive_internet","incentive_sport_tickets","outsideGood","incentive_label","penalty_label","accessibility_label","no_vaccine_label"
"1",1,1,1,1,1,0,0,0,1,0,0,0,0,"No incentives for compliance","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",NA
"2",10001,1,1,2,1,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"3",2,1,2,1,2,1000,50,0,0,0,0,1,0,"$1000 gift card for a tickets to a local professional sports event","Vaccine mandated, $50 fine for non-compliance","Door-door vaccinations",NA
"4",10002,1,2,2,2,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"5",3,1,3,1,3,0,50,3,0,0,1,0,0,"No incentives for compliance","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"6",10003,1,3,2,3,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"7",4,1,4,1,4,50,0,1,1,0,0,0,0,"$50 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"8",10004,1,4,2,4,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"9",5,1,5,1,5,1000,100,0,0,1,0,0,0,"$1000 gift card for your local grocery store","Vaccine mandated, $100 fine for non-compliance","Door-door vaccinations",NA
"10",10005,1,5,2,5,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"11",6,1,6,1,6,300,500,0,0,1,0,0,0,"$300 gift card for your local grocery store","Vaccine mandated, $500 fine for non-compliance","Door-door vaccinations",NA
"12",10006,1,6,2,6,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"13",7,1,7,1,7,0,0,10,1,0,0,0,0,"No incentives for compliance","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"14",10007,1,7,2,7,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"15",8,1,8,1,8,50,1000,3,1,0,0,0,0,"$50 in cash","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"16",10008,1,8,2,8,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"17",9,1,9,1,9,50,0,1,0,1,0,0,0,"$50 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"18",10009,1,9,2,9,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"19",10,1,10,1,10,50,1000,1,0,1,0,0,0,"$50 gift card for your local grocery store","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"20",10010,1,10,2,10,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"21",11,2,1,1,11,50,500,1,0,0,1,0,0,"$50 gift card for your internet provider","Vaccine mandated, $500 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"22",10011,2,1,2,11,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"23",12,2,2,1,12,500,0,0,1,0,0,0,0,"$500 in cash","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",NA
"24",10012,2,2,2,12,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"25",13,2,3,1,13,300,0,10,1,0,0,0,0,"$300 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"26",10013,2,3,2,13,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"27",14,2,4,1,14,300,0,3,0,0,1,0,0,"$300 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"28",10014,2,4,2,14,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"29",15,2,5,1,15,200,0,3,0,1,0,0,0,"$200 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"30",10015,2,5,2,15,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"31",16,2,6,1,16,300,1000,10,0,0,0,1,0,"$300 gift card for a tickets to a local professional sports event","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"32",10016,2,6,2,16,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"33",17,2,7,1,17,300,0,1,0,0,1,0,0,"$300 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"34",10017,2,7,2,17,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"35",18,2,8,1,18,1000,1000,0,0,0,0,1,0,"$1000 gift card for a tickets to a local professional sports event","Vaccine mandated, $1000 fine for non-compliance","Door-door vaccinations",NA
"36",10018,2,8,2,18,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"37",19,2,9,1,19,100,0,10,0,1,0,0,0,"$100 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"38",10019,2,9,2,19,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"39",20,2,10,1,20,50,0,3,1,0,0,0,0,"$50 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"40",10020,2,10,2,20,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"41",21,3,1,1,21,500,100,10,0,1,0,0,0,"$500 gift card for your local grocery store","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"42",10021,3,1,2,21,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"43",22,3,2,1,22,500,0,1,0,0,0,1,0,"$500 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"44",10022,3,2,2,22,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"45",23,3,3,1,23,100,0,1,1,0,0,0,0,"$100 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"46",10023,3,3,2,23,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"47",24,3,4,1,24,300,0,0,1,0,0,0,0,"$300 in cash","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",NA
"48",10024,3,4,2,24,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"49",25,3,5,1,25,300,0,3,0,0,0,1,0,"$300 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"50",10025,3,5,2,25,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"51",26,3,6,1,26,100,0,3,0,0,0,1,0,"$100 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"52",10026,3,6,2,26,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"53",27,3,7,1,27,100,0,1,0,0,1,0,0,"$100 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"54",10027,3,7,2,27,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"55",28,3,8,1,28,50,50,1,0,1,0,0,0,"$50 gift card for your local grocery store","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"56",10028,3,8,2,28,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"57",29,3,9,1,29,200,0,0,0,0,0,1,0,"$200 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",NA
"58",10029,3,9,2,29,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"59",30,3,10,1,30,0,50,10,1,0,0,0,0,"No incentives for compliance","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"60",10030,3,10,2,30,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"61",31,4,1,1,31,300,100,3,0,0,1,0,0,"$300 gift card for your internet provider","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"62",10031,4,1,2,31,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"63",32,4,2,1,32,1000,200,3,0,0,1,0,0,"$1000 gift card for your internet provider","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"64",10032,4,2,2,32,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"65",33,4,3,1,33,200,0,0,0,0,1,0,0,"$200 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",NA
"66",10033,4,3,2,33,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"67",34,4,4,1,34,1000,200,1,0,0,1,0,0,"$1000 gift card for your internet provider","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"68",10034,4,4,2,34,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"69",35,4,5,1,35,300,0,1,0,0,1,0,0,"$300 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"70",10035,4,5,2,35,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"71",36,4,6,1,36,1000,0,1,1,0,0,0,0,"$1000 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"72",10036,4,6,2,36,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"73",37,4,7,1,37,50,0,1,0,1,0,0,0,"$50 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"74",10037,4,7,2,37,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"75",38,4,8,1,38,200,1000,3,0,1,0,0,0,"$200 gift card for your local grocery store","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"76",10038,4,8,2,38,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"77",39,4,9,1,39,500,300,3,0,0,0,1,0,"$500 gift card for a tickets to a local professional sports event","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"78",10039,4,9,2,39,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"79",40,4,10,1,40,500,50,1,0,1,0,0,0,"$500 gift card for your local grocery store","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"80",10040,4,10,2,40,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"81",41,5,1,1,41,50,300,0,0,0,0,1,0,"$50 gift card for a tickets to a local professional sports event","Vaccine mandated, $300 fine for non-compliance","Door-door vaccinations",NA
"82",10041,5,1,2,41,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"83",42,5,2,1,42,200,200,10,0,0,0,1,0,"$200 gift card for a tickets to a local professional sports event","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"84",10042,5,2,2,42,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"85",43,5,3,1,43,100,0,10,0,0,0,1,0,"$100 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"86",10043,5,3,2,43,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"87",44,5,4,1,44,200,0,1,0,1,0,0,0,"$200 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"88",10044,5,4,2,44,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"89",45,5,5,1,45,300,500,10,0,0,0,1,0,"$300 gift card for a tickets to a local professional sports event","Vaccine mandated, $500 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"90",10045,5,5,2,45,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"91",46,5,6,1,46,200,100,10,1,0,0,0,0,"$200 in cash","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"92",10046,5,6,2,46,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"93",47,5,7,1,47,100,300,10,1,0,0,0,0,"$100 in cash","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"94",10047,5,7,2,47,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"95",48,5,8,1,48,100,0,1,0,0,0,1,0,"$100 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"96",10048,5,8,2,48,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"97",49,5,9,1,49,1000,50,0,0,0,1,0,0,"$1000 gift card for your internet provider","Vaccine mandated, $50 fine for non-compliance","Door-door vaccinations",NA
"98",10049,5,9,2,49,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"99",50,5,10,1,50,100,0,0,1,0,0,0,0,"$100 in cash","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",NA
"100",10050,5,10,2,50,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"101",51,6,1,1,51,50,0,10,0,0,1,0,0,"$50 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",NA
"102",10051,6,1,2,51,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"103",52,6,2,1,52,300,0,3,0,1,0,0,0,"$300 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",NA
"104",10052,6,2,2,52,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"105",53,6,3,1,53,100,0,1,0,1,0,0,0,"$100 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"106",10053,6,3,2,53,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
"107",54,6,4,1,54,50,200,1,0,0,0,1,0,"$50 gift card for a tickets to a local professional sports event","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",NA
"108",10054,6,4,2,54,0,0,0,0,0,0,0,1,NA,NA,NA,"I will not take the vaccine under this condition."
