"session","created","modified","ended","expired","consentAge","consentVaccine","consentUnderstand","time1"
"clumsyLeopardTortoiseXXX-JX1VMvt0OIFDustOXn5KT75IY7QhA2V9db-2j7l","2021-10-15 18:23:26","2021-10-15 18:23:47","2021-10-15 18:23:48","","1","1","1","2021-10-15 18:23:47"
"gentleCrestedPenguinXXXcJyb6S57syyJlwWscfyCLm-IlVZ0k8BmGT6ryXJIq","2021-10-15 18:33:42","2021-10-15 18:34:11","2021-10-15 18:34:12","","1","1","1","2021-10-15 18:34:11"
"","2021-10-15 18:36:22","2021-10-15 18:37:07","2021-10-15 18:37:08","","1","1","1","2021-10-15 18:37:07"
"wonderfulChinookXXXYXCAurEwpExus9gruN8XNUPFpzCsybjzHTlBZRMRxSRor","2021-10-15 18:44:04","","","","","","",""
"joyousReindeerXXXQ2kWTgBchnXPKod-CQH94fvka6YaAEz7A8hyKxRTGDK8poS","2021-10-15 18:46:02","","","","","","",""
"vastDodoXXXs_Gopm2EgRLqfTzjDJmUg5IKTG_UlgrGXWamtRsgmTd9exv5m3Jsm","2021-10-15 18:46:41","2021-10-15 18:46:56","2021-10-15 18:46:56","","1","1","1","2021-10-15 18:46:56"
"","2021-10-15 18:49:47","","","","","","",""
"puzzledWolfXXXUwFnCHq4sPaFPUMXliTHmvLt_NwdZPP9tgru0jVfXZXBuPN_sj","2021-10-15 18:55:26","2021-10-15 18:55:33","2021-10-15 18:55:34","","1","1","1","2021-10-15 18:55:33"
"adorableKingPenguinXXXJAn_zyxU1eN9G2QVRsj4PbeoJ_czLx4bQoXpMowVPY","2021-10-15 18:55:46","","","","","","",""
"","2021-10-15 18:56:45","","","","","","",""
"","2021-10-15 18:57:28","2021-10-15 18:57:34","","","","","",""
"","2021-10-15 18:58:52","","","","","","",""
"","2021-10-15 19:01:22","","","","","","",""
"","2021-10-15 19:02:22","","","","","","",""
