"session","created","modified","ended","expired","time2","survey","respondentID","df","df_json","time3","time4","cbcPractice","attention_check_1","time5","time6","cbc1","time7","cbc2","time8","cbc3","time9","cbc4","time10","cbc5","time11","cbc6","time12","cbc7","attention_check_2","time13","cbc8","time14","cbc9","attention_check_3","cbc10","cbcAllSame","time15"
"clumsyLeopardTortoiseXXX-JX1VMvt0OIFDustOXn5KT75IY7QhA2V9db-2j7l","2021-10-15 18:23:48","2021-10-15 18:24:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:24:47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:27:54","2021-10-15 18:28:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:30:41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gentleCrestedPenguinXXXcJyb6S57syyJlwWscfyCLm-IlVZ0k8BmGT6ryXJIq","2021-10-15 18:34:12","2021-10-15 18:35:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:37:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:38:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:39:21","2021-10-15 18:41:45","","","","Array","917","Array","[{""X1"":7329,""respID"":917,""qID"":1,""altID"":1,""obsID"":7329,""incentive_1"":0,""incentive_2"":0,""incentive_3"":1,""incentive_4"":0,""value_1"":0,""value_2"":0,""value_3"":0,""value_4"":0,""value_5"":0,""value_6"":1,""value_7"":0,""penalty_1"":0,""penalty_2"":0,""penalty_3"":0,""penalty_4"":0,""penalty_5"":0,""penalty_6"":0,""penalty_7"":0,""penalty_8"":0,""penalty_9"":0,""penalty_10"":0,""penalty_11"":1,""penalty_12"":0,""accessibility_1"":0,""accessibility_2"":0,""accessibility_3"":0,""accessibility_4"":1,""outsideGood"":0},{""X1"":15329,""respID"":917,""qID"":1,""altID"":2,""obsID"":7329,""incentive_1"":0,""incentive_2"":0,""incentive_3"":0,""incentive_4"":0,""value_1"":0,""value_2"":0,""value_3"":0,""value_4"":0,""value_5"":0,""value_6"":0,""value_7"":0,""penalty_1"":0,""penalty_2"":0,""penalty_3"":0,""penalty_4"":0,""penalty_5"":0,""penalty_6"":0,""penalty_7"":0,""penalty_8"":0,""penalty_9"":0,""penalty_10"":0,""penalty_11"":0,""penalty_12"":0,""accessibility_1"":0,""accessibility_2"":0,""accessibility_3"":0,""accessibility_4"":0,""outsideGood"":1},{""X1"":7330,""respID"":917,""qID"":2,""altID"":1,""obsID"":7330,""incentive_1"":0,""incentive_2"":0,""incentive_3"":0,""incentive_4"":1,""value_1"":0,""value_2"":0,""value_3"":0,""value_4"":0,""value_5"":1,""value_6"":0,""value_7"":0,""penalty_1"":0,""penalty_2"":1,""penalty_3"":0,""penalty_4"":0,""penalty_5"":0,""penalty_6"":0,""penalty_7"":0,""penalty_8"":0,""penalty_9"":0,""penalty_10"":0,""penalty_11"":0,""penalty_12"":0,""accessibility_1"":0,""accessibility_2"":1,""accessibility_3"":0,""accessibility_4"":0,""outsideGood"":0},{""X1"":15330,""respID"":917,""qID"":2,""altID"":2,""obsID"":7330,""incentive_1"":0,""incentive_2"":0,""incentive_3"":0,""incentive_4"":0,""value_1"":0,""value_2"":0,""value_3"":0,""value_4"":0,""value_5"":0,""value_6"":0,""value_7"":0,""penalty_1"":0,""penalty_2"":0,""penalty_3"":0,""penalty_4"":0,""penalty_5"":0,""penalty_6"":0,""penalty_7"":0,""penalty_8"":0,""penalty_9"":0,""penalty_10"":0,""penalty_11"":0,""penalty_12"":0,""accessibility_1"":0,""accessibility_2"":0,""accessibility_3"":0,""accessibility_4"":0,""outsideGood"":1},{""X1"":7331,""respID"":917,""qID"":3,""altID"":1,""obsID"":7331,""incentive_1"":0,""incentive_2"":1,""incentive_3"":0,""incentive_4"":0,""value_1"":0,""value_2"":1,""value_3"":0,""value_4"":0,""value_5"":0,""value_6"":0,""value_7"":0,""penalty_1"":0,""penalty_2"":0,""penalty_3"":0,""penalty_4"":0,""penalty_5"":0,""penalty_6"":0,""penalty_7"":1,""penalty_8"":0,""penalty_9"":0,""penalty_10"":0,""penalty_11"":0,""penalty_12"":0,""accessibility_1"":0,""accessibility_2"":1,""accessibility_3"":0,""accessibility_4"":0,""outsideGood"":0},{""X1"":15331,""respID"":917,""qID"":3,""altID"":2,""obsID"":7331,""incentive_1"":0,""incentive_2"":0,""incentive_3"":0,""incentive_4"":0,""value_1"":0,""value_2"":0,""value_3"":0,""value_4"":0,""value_5"":0,""value_6"":0,""value_7"":0,""penalty_1"":0,""penalty_2"":0,""penalty_3"":0,""penalty_4"":0,""penalty_5"":0,""penalty_6"":0,""penalty_7"":0,""penalty_8"":0,""penalty_9"":0,""penalty_10"":0,""penalty_11"":0,""penalty_12"":0,""accessibility_1"":0,""accessibility_2"":0,""accessibility_3"":0,""accessibility_4"":0,""outsideGood"":1},{""X1"":7332,""respID"":917,""qID"":4,""altID"":1,""obsID"":7332,""incentive_1"":1,""incentive_2"":0,""incentive_3"":0,""incentive_4"":0,""value_1"":1,""value_2"":0,""value_3"":0,""value_4"":0,""value_5"":0,""value_6"":0,""value_7"":0,""penalty_1"":0,""penalty_2"":1,""penalty_3"":0,""penalty_4"":0,""penalty_5"":0,""penalty_6"":0,""penalty_7"":0,""penalty_8"":0,""penalty_9"":0,""penalty_10"":0,""penalty_11"":0,""penalty_12"":0,""accessibility_1"":1,""accessibility_2"":0,""accessibility_3"":0,""accessibility_4"":0,""outsideGood"":0},{""X1"":15332,""respID"":917,""qID"":4,""altID"":2,""obsID"":7332,""incentive_1"":0,""incentive_2"":0,""incentive_3"":0,""incentive_4"":0,""value_1"":0,""value_2"":0,""value_3"":0,""value_4"":0,""value_5"":0,""value_6"":0,""value_7"":0,""penalty_1"":0,""penalty_2"":0,""penalty_3"":0,""penalty_4"":0,""penalty_5"":0,""penalty_6"":0,""penalty_7"":0,""penalty_8"":0,""penalty_9"":0,""penalty_10"":0,""penalty_11"":0,""penalty_12"":0,""accessibility_1"":0,""accessibility_2"":0,""accessibility_3"":0,""accessibility_4"":0,""outsideGood"":1},{""X1"":7333,""respID"":917,""qID"":5,""altID"":1,""obsID"":7333,""incentive_1"":0,""incentive_2"":1,""incentive_3"":0,""incentive_4"":0,""value_1"":0,""value_2"":0,""value_3"":0,""value_4"":0,""value_5"":0,""value_6"":0,""value_7"":1,""penalty_1"":0,""penalty_2"":0,""penalty_3"":0,""penalty_4"":0,""penalty_5"":0,""penalty_6"":0,""penalty_7"":1,""penalty_8"":0,""penalty_9"":0,""penalty_10"":0,""penalty_11"":0,""penalty_12"":0,""accessibility_1"":0,""accessibility_2"":0,""accessibility_3"":1,""accessibility_4"":0,""outsideGood"":0},{""X1"":15333,""respID"":917,""qID"":5,""altID"":2,""obsID"":7333,""incentive_1"":0,""incentive_2"":0,""incentive_3"":0,""incentive_4"":0,""value_1"":0,""value_2"":0,""value_3"":0,""value_4"":0,""value_5"":0,""value_6"":0,""value_7"":0,""penalty_1"":0,""penalty_2"":0,""penalty_3"":0,""penalty_4"":0,""penalty_5"":0,""penalty_6"":0,""penalty_7"":0,""penalty_8"":0,""penalty_9"":0,""penalty_10"":0,""penalty_11"":0,""penalty_12"":0,""accessibility_1"":0,""accessibility_2"":0,""accessibility_3"":0,""accessibility_4"":0,""outsideGood"":1},{""X1"":7334,""respID"":917,""qID"":6,""altID"":1,""obsID"":7334,""incentive_1"":1,""incentive_2"":0,""incentive_3"":0,""incentive_4"":0,""value_1"":0,""value_2"":0,""value_3"":0,""value_4"":0,""value_5"":0,""value_6"":0,""value_7"":1,""penalty_1"":0,""penalty_2"":0,""penalty_3"":0,""penalty_4"":1,""penalty_5"":0,""penalty_6"":0,""penalty_7"":0,""penalty_8"":0,""penalty_9"":0,""penalty_10"":0,""penalty_11"":0,""penalty_12"":0,""accessibility_1"":0,""accessibility_2"":0,""accessibility_3"":1,""accessibility_4"":0,""outsideGood"":0},{""X1"":15334,""respID"":917,""qID"":6,""altID"":2,""obsID"":7334,""incentive_1"":0,""incentive_2"":0,""incentive_3"":0,""incentive_4"":0,""value_1"":0,""value_2"":0,""value_3"":0,""value_4"":0,""value_5"":0,""value_6"":0,""value_7"":0,""penalty_1"":0,""penalty_2"":0,""penalty_3"":0,""penalty_4"":0,""penalty_5"":0,""penalty_6"":0,""penalty_7"":0,""penalty_8"":0,""penalty_9"":0,""penalty_10"":0,""penalty_11"":0,""penalty_12"":0,""accessibility_1"":0,""accessibility_2"":0,""accessibility_3"":0,""accessibility_4"":0,""outsideGood"":1},{""X1"":7335,""respID"":917,""qID"":7,""altID"":1,""obsID"":7335,""incentive_1"":1,""incentive_2"":0,""incentive_3"":0,""incentive_4"":0,""value_1"":0,""value_2"":0,""value_3"":1,""value_4"":0,""value_5"":0,""value_6"":0,""value_7"":0,""penalty_1"":0,""penalty_2"":0,""penalty_3"":0,""penalty_4"":0,""penalty_5"":0,""penalty_6"":1,""penalty_7"":0,""penalty_8"":0,""penalty_9"":0,""penalty_10"":0,""penalty_11"":0,""penalty_12"":0,""accessibility_1"":1,""accessibility_2"":0,""accessibility_3"":0,""accessibility_4"":0,""outsideGood"":0},{""X1"":15335,""respID"":917,""qID"":7,""altID"":2,""obsID"":7335,""incentive_1"":0,""incentive_2"":0,""incentive_3"":0,""incentive_4"":0,""value_1"":0,""value_2"":0,""value_3"":0,""value_4"":0,""value_5"":0,""value_6"":0,""value_7"":0,""penalty_1"":0,""penalty_2"":0,""penalty_3"":0,""penalty_4"":0,""penalty_5"":0,""penalty_6"":0,""penalty_7"":0,""penalty_8"":0,""penalty_9"":0,""penalty_10"":0,""penalty_11"":0,""penalty_12"":0,""accessibility_1"":0,""accessibility_2"":0,""accessibility_3"":0,""accessibility_4"":0,""outsideGood"":1},{""X1"":7336,""respID"":917,""qID"":8,""altID"":1,""obsID"":7336,""incentive_1"":0,""incentive_2"":0,""incentive_3"":0,""incentive_4"":1,""value_1"":0,""value_2"":0,""value_3"":0,""value_4"":0,""value_5"":0,""value_6"":0,""value_7"":1,""penalty_1"":0,""penalty_2"":0,""penalty_3"":0,""penalty_4"":0,""penalty_5"":0,""penalty_6"":0,""penalty_7"":0,""penalty_8"":0,""penalty_9"":1,""penalty_10"":0,""penalty_11"":0,""penalty_12"":0,""accessibility_1"":1,""accessibility_2"":0,""accessibility_3"":0,""accessibility_4"":0,""outsideGood"":0},{""X1"":15336,""respID"":917,""qID"":8,""altID"":2,""obsID"":7336,""incentive_1"":0,""incentive_2"":0,""incentive_3"":0,""incentive_4"":0,""value_1"":0,""value_2"":0,""value_3"":0,""value_4"":0,""value_5"":0,""value_6"":0,""value_7"":0,""penalty_1"":0,""penalty_2"":0,""penalty_3"":0,""penalty_4"":0,""penalty_5"":0,""penalty_6"":0,""penalty_7"":0,""penalty_8"":0,""penalty_9"":0,""penalty_10"":0,""penalty_11"":0,""penalty_12"":0,""accessibility_1"":0,""accessibility_2"":0,""accessibility_3"":0,""accessibility_4"":0,""outsideGood"":1}]","2021-10-15 18:39:21","2021-10-15 18:39:32","","","2021-10-15 18:39:37","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:41:56","2021-10-15 18:42:56","","","","Array","687","Array","[{""X1"":6861,""respID"":687,""qID"":1,""altID"":1,""obsID"":6861,""value"":200,""penalty"":0,""accessibility"":1,""incentive_cash"":1,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":0,""incentive_label"":""$200 in cash"",""penalty_label"":""Vaccine not mandated, no penalty for non-compliance"",""accessibility_label"":""Vaccination clinic will be located within 1 miles from your house""},{""X1"":16861,""respID"":687,""qID"":1,""altID"":2,""obsID"":6861,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""},{""X1"":6862,""respID"":687,""qID"":2,""altID"":1,""obsID"":6862,""value"":200,""penalty"":0,""accessibility"":10,""incentive_cash"":0,""incentive_grocery_store"":1,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":0,""incentive_label"":""$200 gift card for your local grocery store"",""penalty_label"":""Vaccine not mandated, no penalty for non-compliance"",""accessibility_label"":""Vaccination clinic will be located within 10 miles from your house""},{""X1"":16862,""respID"":687,""qID"":2,""altID"":2,""obsID"":6862,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""},{""X1"":6863,""respID"":687,""qID"":3,""altID"":1,""obsID"":6863,""value"":0,""penalty"":0,""accessibility"":1,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":1,""incentive_sport_tickets"":0,""outsideGood"":0,""incentive_label"":""No incentives for compliance"",""penalty_label"":""Vaccine not mandated, no penalty for non-compliance"",""accessibility_label"":""Vaccination clinic will be located within 1 miles from your house""},{""X1"":16863,""respID"":687,""qID"":3,""altID"":2,""obsID"":6863,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""},{""X1"":6864,""respID"":687,""qID"":4,""altID"":1,""obsID"":6864,""value"":0,""penalty"":0,""accessibility"":10,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":1,""outsideGood"":0,""incentive_label"":""No incentives for compliance"",""penalty_label"":""Vaccine not mandated, no penalty for non-compliance"",""accessibility_label"":""Vaccination clinic will be located within 10 miles from your house""},{""X1"":16864,""respID"":687,""qID"":4,""altID"":2,""obsID"":6864,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""},{""X1"":6865,""respID"":687,""qID"":5,""altID"":1,""obsID"":6865,""value"":100,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":1,""outsideGood"":0,""incentive_label"":""$100 gift card for a tickets to a local professional sports event"",""penalty_label"":""Vaccine not mandated, no penalty for non-compliance"",""accessibility_label"":""Door-door vaccinations""},{""X1"":16865,""respID"":687,""qID"":5,""altID"":2,""obsID"":6865,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""},{""X1"":6866,""respID"":687,""qID"":6,""altID"":1,""obsID"":6866,""value"":500,""penalty"":50,""accessibility"":3,""incentive_cash"":1,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":0,""incentive_label"":""$500 in cash"",""penalty_label"":""Vaccine mandated, $50 fine for non-compliance"",""accessibility_label"":""Vaccination clinic will be located within 3 miles from your house""},{""X1"":16866,""respID"":687,""qID"":6,""altID"":2,""obsID"":6866,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""},{""X1"":6867,""respID"":687,""qID"":7,""altID"":1,""obsID"":6867,""value"":300,""penalty"":500,""accessibility"":0,""incentive_cash"":1,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":0,""incentive_label"":""$300 in cash"",""penalty_label"":""Vaccine mandated, $500 fine for non-compliance"",""accessibility_label"":""Door-door vaccinations""},{""X1"":16867,""respID"":687,""qID"":7,""altID"":2,""obsID"":6867,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""},{""X1"":6868,""respID"":687,""qID"":8,""altID"":1,""obsID"":6868,""value"":50,""penalty"":1000,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":1,""outsideGood"":0,""incentive_label"":""$50 gift card for a tickets to a local professional sports event"",""penalty_label"":""Vaccine mandated, $1000 fine for non-compliance"",""accessibility_label"":""Door-door vaccinations""},{""X1"":16868,""respID"":687,""qID"":8,""altID"":2,""obsID"":6868,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""},{""X1"":6869,""respID"":687,""qID"":9,""altID"":1,""obsID"":6869,""value"":1000,""penalty"":0,""accessibility"":1,""incentive_cash"":0,""incentive_grocery_store"":1,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":0,""incentive_label"":""$1000 gift card for your local grocery store"",""penalty_label"":""Vaccine not mandated, no penalty for non-compliance"",""accessibility_label"":""Vaccination clinic will be located within 1 miles from your house""},{""X1"":16869,""respID"":687,""qID"":9,""altID"":2,""obsID"":6869,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""},{""X1"":6870,""respID"":687,""qID"":10,""altID"":1,""obsID"":6870,""value"":1000,""penalty"":0,""accessibility"":1,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":1,""incentive_sport_tickets"":0,""outsideGood"":0,""incentive_label"":""$1000 gift card for your internet provider"",""penalty_label"":""Vaccine not mandated, no penalty for non-compliance"",""accessibility_label"":""Vaccination clinic will be located within 1 miles from your house""},{""X1"":16870,""respID"":687,""qID"":10,""altID"":2,""obsID"":6870,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""}]","2021-10-15 18:41:56","2021-10-15 18:42:02","1","","2021-10-15 18:42:05","2021-10-15 18:42:26","","2021-10-15 18:42:28","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:42:45","2021-10-15 18:42:57","","","","Array","527","Array","[{""X1"":5261,""respID"":527,""qID"":1,""altID"":1,""obsID"":5261,""value"":500,""penalty"":100,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":1,""outsideGood"":0,""incentive_label"":""$500 gift card for a tickets to a local professional sports event"",""penalty_label"":""Vaccine mandated, $100 fine for non-compliance"",""accessibility_label"":""Door-door vaccinations""},{""X1"":15261,""respID"":527,""qID"":1,""altID"":2,""obsID"":5261,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""},{""X1"":5262,""respID"":527,""qID"":2,""altID"":1,""obsID"":5262,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":1,""incentive_sport_tickets"":0,""outsideGood"":0,""incentive_label"":""No incentives for compliance"",""penalty_label"":""Vaccine not mandated, no penalty for non-compliance"",""accessibility_label"":""Door-door vaccinations""},{""X1"":15262,""respID"":527,""qID"":2,""altID"":2,""obsID"":5262,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""},{""X1"":5263,""respID"":527,""qID"":3,""altID"":1,""obsID"":5263,""value"":200,""penalty"":1000,""accessibility"":1,""incentive_cash"":0,""incentive_grocery_store"":1,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":0,""incentive_label"":""$200 gift card for your local grocery store"",""penalty_label"":""Vaccine mandated, $1000 fine for non-compliance"",""accessibility_label"":""Vaccination clinic will be located within 1 miles from your house""},{""X1"":15263,""respID"":527,""qID"":3,""altID"":2,""obsID"":5263,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""},{""X1"":5264,""respID"":527,""qID"":4,""altID"":1,""obsID"":5264,""value"":200,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":1,""incentive_sport_tickets"":0,""outsideGood"":0,""incentive_label"":""$200 gift card for your internet provider"",""penalty_label"":""Vaccine not mandated, no penalty for non-compliance"",""accessibility_label"":""Door-door vaccinations""},{""X1"":15264,""respID"":527,""qID"":4,""altID"":2,""obsID"":5264,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""},{""X1"":5265,""respID"":527,""qID"":5,""altID"":1,""obsID"":5265,""value"":300,""penalty"":1000,""accessibility"":3,""incentive_cash"":1,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":0,""incentive_label"":""$300 in cash"",""penalty_label"":""Vaccine mandated, $1000 fine for non-compliance"",""accessibility_label"":""Vaccination clinic will be located within 3 miles from your house""},{""X1"":15265,""respID"":527,""qID"":5,""altID"":2,""obsID"":5265,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""},{""X1"":5266,""respID"":527,""qID"":6,""altID"":1,""obsID"":5266,""value"":200,""penalty"":0,""accessibility"":1,""incentive_cash"":0,""incentive_grocery_store"":1,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":0,""incentive_label"":""$200 gift card for your local grocery store"",""penalty_label"":""Vaccine not mandated, no penalty for non-compliance"",""accessibility_label"":""Vaccination clinic will be located within 1 miles from your house""},{""X1"":15266,""respID"":527,""qID"":6,""altID"":2,""obsID"":5266,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""},{""X1"":5267,""respID"":527,""qID"":7,""altID"":1,""obsID"":5267,""value"":0,""penalty"":200,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":1,""outsideGood"":0,""incentive_label"":""No incentives for compliance"",""penalty_label"":""Vaccine mandated, $200 fine for non-compliance"",""accessibility_label"":""Door-door vaccinations""},{""X1"":15267,""respID"":527,""qID"":7,""altID"":2,""obsID"":5267,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""},{""X1"":5268,""respID"":527,""qID"":8,""altID"":1,""obsID"":5268,""value"":1000,""penalty"":0,""accessibility"":0,""incentive_cash"":1,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":0,""incentive_label"":""$1000 in cash"",""penalty_label"":""Vaccine not mandated, no penalty for non-compliance"",""accessibility_label"":""Door-door vaccinations""},{""X1"":15268,""respID"":527,""qID"":8,""altID"":2,""obsID"":5268,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""},{""X1"":5269,""respID"":527,""qID"":9,""altID"":1,""obsID"":5269,""value"":50,""penalty"":100,""accessibility"":1,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":1,""incentive_sport_tickets"":0,""outsideGood"":0,""incentive_label"":""$50 gift card for your internet provider"",""penalty_label"":""Vaccine mandated, $100 fine for non-compliance"",""accessibility_label"":""Vaccination clinic will be located within 1 miles from your house""},{""X1"":15269,""respID"":527,""qID"":9,""altID"":2,""obsID"":5269,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""},{""X1"":5270,""respID"":527,""qID"":10,""altID"":1,""obsID"":5270,""value"":500,""penalty"":0,""accessibility"":10,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":1,""outsideGood"":0,""incentive_label"":""$500 gift card for a tickets to a local professional sports event"",""penalty_label"":""Vaccine not mandated, no penalty for non-compliance"",""accessibility_label"":""Vaccination clinic will be located within 10 miles from your house""},{""X1"":15270,""respID"":527,""qID"":10,""altID"":2,""obsID"":5270,""value"":0,""penalty"":0,""accessibility"":0,""incentive_cash"":0,""incentive_grocery_store"":0,""incentive_internet"":0,""incentive_sport_tickets"":0,""outsideGood"":1,""no_vaccine_label"":""I will not take the vaccine under this condition.""}]","2021-10-15 18:42:45","2021-10-15 18:42:51","","","2021-10-15 18:42:57","","","","","","","","","","","","","","","","","","","","","","",""
