"session","created","modified","ended","expired","time16","time17","attentionCheck1","time18","yearOfBirth","gender","genderOther","ethnicity","ethnicityOther","income","politics","transportMode","transportOther","state","education","religiousExemption","time19","feedback","time20","prolificID","time21","completionCode","time22"
"","2021-10-15 18:29:51","2021-10-15 18:30:13","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:43:24","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 18:49:33","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 19:11:25","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 19:14:20","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 20:19:53","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 20:25:10","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 20:30:26","2021-10-15 20:31:02","2021-10-15 20:31:03","","","","","","","","","","","","","","","","","","","","","","","",""
"","2021-10-15 21:18:08","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gentleVultureXXX6cxgnTyCNsUP6k0xEWV3533oL5ZG8tNMY2XpFoCGUqI3A5lk","2021-10-15 21:48:45","2021-10-15 21:50:10","2021-10-15 21:50:11","","2021-10-15 21:48:46","2021-10-15 21:49:46","","2021-10-15 21:50:04","","","","","","under10","","","","","","","2021-10-15 21:50:10","HI :)","","","","847780",""
"homelyAlligatorXXXLOgbMz_eOShHpzpPHJ8FLqKCXyTquDQmUKhXH62kvq-oNg","2021-10-15 22:20:50","2021-10-15 22:25:03","2021-10-15 22:25:03","","2021-10-15 22:20:50","2021-10-15 22:21:39","","2021-10-15 22:21:43","","","","","","inc_10to15","","","","","","","2021-10-15 22:25:03","","","","","127589",""
"lGWU67dhHVGBRtWZJei2c1WaRM11xCIgI9AJUX6lJ-ZV-DGtiQJHxSucJqziNJB0","2021-10-17 16:36:03","2021-10-17 16:37:02","2021-10-17 16:37:02","","2021-10-17 16:36:04","2021-10-17 16:36:56","","2021-10-17 16:37:00","","","","","","inc_100to150","","","","","","","2021-10-17 16:37:02","","","","","588100",""
"Tzs4NRvQR6oqXV3zKpVtfsAhx6NUuFFW1Ec7Y2WNbOqBiR4hPdwuw54gPzWsaIwH","2021-10-18 02:52:01","2021-10-18 02:53:06","2021-10-18 02:53:06","","2021-10-18 02:52:01","2021-10-18 02:52:52","","2021-10-18 02:52:57","","","","","","inc_15to25","","","","","","","2021-10-18 02:53:06","","","","","666516",""
"ch8EivV04ailGDt70DhI9gVogf5yjMF2-Z8P4FYPvAaYenK0KE4pLku_82RuPRRq","2021-10-18 02:53:18","2021-10-18 02:55:11","2021-10-18 02:55:12","","2021-10-18 02:53:18","2021-10-18 02:55:04","","2021-10-18 02:55:08","","","","","","under10","","","","","","","2021-10-18 02:55:12","","","","","778056",""
