"","respID","qID","altID","obsID","value","penalty","accessibility","incentive_cash","incentive_grocery_store","incentive_internet","incentive_sport_tickets","outsideGood","incentive_label","penalty_label","accessibility_label","no_vaccine_label"
"1",1,1,1,1,50,0,1,0,0,1,0,0,"$50 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8001",1,1,2,1,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"2",1,2,1,2,50,0,0,0,0,0,1,0,"$50 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8002",1,2,2,2,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"3",1,3,1,3,500,300,3,1,0,0,0,0,"$500 in cash","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8003",1,3,2,3,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"4",1,4,1,4,1000,0,0,0,0,1,0,0,"$1000 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8004",1,4,2,4,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"5",1,5,1,5,300,0,10,1,0,0,0,0,"$300 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8005",1,5,2,5,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"6",1,6,1,6,1000,500,0,0,0,0,1,0,"$1000 gift card for a tickets to a local professional sports event","Vaccine mandated, $500 fine for non-compliance","Door-door vaccinations",""
"8006",1,6,2,6,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"7",1,7,1,7,200,500,0,0,0,1,0,0,"$200 gift card for your internet provider","Vaccine mandated, $500 fine for non-compliance","Door-door vaccinations",""
"8007",1,7,2,7,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"8",1,8,1,8,1000,200,0,1,0,0,0,0,"$1000 in cash","Vaccine mandated, $200 fine for non-compliance","Door-door vaccinations",""
"8008",1,8,2,8,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"9",2,1,1,9,0,50,1,0,0,0,1,0,"No incentives for compliance","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8009",2,1,2,9,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"10",2,2,1,10,0,200,3,0,0,1,0,0,"No incentives for compliance","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8010",2,2,2,10,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"11",2,3,1,11,100,0,1,1,0,0,0,0,"$100 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8011",2,3,2,11,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"12",2,4,1,12,1000,0,0,0,0,0,1,0,"$1000 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8012",2,4,2,12,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"13",2,5,1,13,200,300,0,0,0,0,1,0,"$200 gift card for a tickets to a local professional sports event","Vaccine mandated, $300 fine for non-compliance","Door-door vaccinations",""
"8013",2,5,2,13,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"14",2,6,1,14,100,500,1,0,0,1,0,0,"$100 gift card for your internet provider","Vaccine mandated, $500 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8014",2,6,2,14,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"15",2,7,1,15,200,500,3,1,0,0,0,0,"$200 in cash","Vaccine mandated, $500 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8015",2,7,2,15,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"16",2,8,1,16,300,100,3,0,0,0,1,0,"$300 gift card for a tickets to a local professional sports event","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8016",2,8,2,16,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"17",3,1,1,17,300,0,1,0,1,0,0,0,"$300 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8017",3,1,2,17,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"18",3,2,1,18,300,0,1,0,0,1,0,0,"$300 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8018",3,2,2,18,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"19",3,3,1,19,0,0,1,0,0,0,1,0,"No incentives for compliance","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8019",3,3,2,19,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"20",3,4,1,20,0,100,3,0,0,1,0,0,"No incentives for compliance","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8020",3,4,2,20,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"21",3,5,1,21,500,0,0,0,1,0,0,0,"$500 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8021",3,5,2,21,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"22",3,6,1,22,500,200,3,0,0,1,0,0,"$500 gift card for your internet provider","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8022",3,6,2,22,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"23",3,7,1,23,50,500,1,0,0,1,0,0,"$50 gift card for your internet provider","Vaccine mandated, $500 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8023",3,7,2,23,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"24",3,8,1,24,0,0,10,0,0,0,1,0,"No incentives for compliance","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8024",3,8,2,24,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"25",4,1,1,25,1000,0,10,1,0,0,0,0,"$1000 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8025",4,1,2,25,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"26",4,2,1,26,100,200,1,1,0,0,0,0,"$100 in cash","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8026",4,2,2,26,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"27",4,3,1,27,100,200,1,1,0,0,0,0,"$100 in cash","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8027",4,3,2,27,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"28",4,4,1,28,200,200,0,0,0,1,0,0,"$200 gift card for your internet provider","Vaccine mandated, $200 fine for non-compliance","Door-door vaccinations",""
"8028",4,4,2,28,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"29",4,5,1,29,200,0,1,1,0,0,0,0,"$200 in cash","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8029",4,5,2,29,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"30",4,6,1,30,200,1000,0,0,1,0,0,0,"$200 gift card for your local grocery store","Vaccine mandated, $1000 fine for non-compliance","Door-door vaccinations",""
"8030",4,6,2,30,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"31",4,7,1,31,1000,100,1,1,0,0,0,0,"$1000 in cash","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8031",4,7,2,31,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"32",4,8,1,32,0,100,0,1,0,0,0,0,"No incentives for compliance","Vaccine mandated, $100 fine for non-compliance","Door-door vaccinations",""
"8032",4,8,2,32,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"33",5,1,1,33,50,300,3,1,0,0,0,0,"$50 in cash","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8033",5,1,2,33,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"34",5,2,1,34,500,0,0,0,0,1,0,0,"$500 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Door-door vaccinations",""
"8034",5,2,2,34,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"35",5,3,1,35,1000,200,10,0,0,0,1,0,"$1000 gift card for a tickets to a local professional sports event","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8035",5,3,2,35,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"36",5,4,1,36,200,1000,3,0,0,1,0,0,"$200 gift card for your internet provider","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8036",5,4,2,36,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"37",5,5,1,37,500,1000,1,0,1,0,0,0,"$500 gift card for your local grocery store","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8037",5,5,2,37,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"38",5,6,1,38,50,500,1,0,0,1,0,0,"$50 gift card for your internet provider","Vaccine mandated, $500 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8038",5,6,2,38,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"39",5,7,1,39,1000,200,10,1,0,0,0,0,"$1000 in cash","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8039",5,7,2,39,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"40",5,8,1,40,1000,300,1,1,0,0,0,0,"$1000 in cash","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8040",5,8,2,40,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"41",6,1,1,41,200,0,1,0,1,0,0,0,"$200 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8041",6,1,2,41,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"42",6,2,1,42,300,50,3,0,0,1,0,0,"$300 gift card for your internet provider","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8042",6,2,2,42,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"43",6,3,1,43,100,0,1,0,0,1,0,0,"$100 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8043",6,3,2,43,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"44",6,4,1,44,0,0,3,1,0,0,0,0,"No incentives for compliance","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8044",6,4,2,44,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"45",6,5,1,45,500,0,10,0,0,0,1,0,"$500 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8045",6,5,2,45,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"46",6,6,1,46,200,0,1,0,1,0,0,0,"$200 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8046",6,6,2,46,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"47",6,7,1,47,300,200,3,0,0,1,0,0,"$300 gift card for your internet provider","Vaccine mandated, $200 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8047",6,7,2,47,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"48",6,8,1,48,500,500,1,0,0,1,0,0,"$500 gift card for your internet provider","Vaccine mandated, $500 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8048",6,8,2,48,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"49",7,1,1,49,50,50,3,1,0,0,0,0,"$50 in cash","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8049",7,1,2,49,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"50",7,2,1,50,1000,0,10,0,0,1,0,0,"$1000 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8050",7,2,2,50,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"51",7,3,1,51,500,0,10,0,0,1,0,0,"$500 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8051",7,3,2,51,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"52",7,4,1,52,50,0,3,0,0,1,0,0,"$50 gift card for your internet provider","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8052",7,4,2,52,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"53",7,5,1,53,500,100,3,0,0,0,1,0,"$500 gift card for a tickets to a local professional sports event","Vaccine mandated, $100 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8053",7,5,2,53,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"54",7,6,1,54,0,50,1,0,0,0,1,0,"No incentives for compliance","Vaccine mandated, $50 fine for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8054",7,6,2,54,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"55",7,7,1,55,50,0,10,0,1,0,0,0,"$50 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8055",7,7,2,55,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"56",7,8,1,56,100,1000,10,1,0,0,0,0,"$100 in cash","Vaccine mandated, $1000 fine for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8056",7,8,2,56,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"57",8,1,1,57,50,0,3,0,1,0,0,0,"$50 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8057",8,1,2,57,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"58",8,2,1,58,200,300,3,1,0,0,0,0,"$200 in cash","Vaccine mandated, $300 fine for non-compliance","Vaccination clinic will be located within 3 miles from your house",""
"8058",8,2,2,58,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"59",8,3,1,59,300,0,10,0,1,0,0,0,"$300 gift card for your local grocery store","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 10 miles from your house",""
"8059",8,3,2,59,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
"60",8,4,1,60,500,0,1,0,0,0,1,0,"$500 gift card for a tickets to a local professional sports event","Vaccine not mandated, no penalty for non-compliance","Vaccination clinic will be located within 1 miles from your house",""
"8060",8,4,2,60,0,0,0,0,0,0,0,1,"","","","I will not take the vaccine under this condition."
